Source,CodeNumeric,Year,CO2 Emission,Code
Coal,124,1931,0.0,LBN
Coal,124,1932,0.0,LBN
Coal,124,1933,0.0,LBN
Coal,124,1935,0.0,LBN
Coal,124,1936,0.0,LBN
Coal,124,1937,0.0,LBN
Coal,124,1938,0.0,LBN
Coal,124,1939,0.0,LBN
Coal,124,1940,0.0,LBN
Coal,124,1941,0.0,LBN
Coal,124,1942,0.0,LBN
Coal,124,1943,0.0,LBN
Coal,124,1944,0.0,LBN
Coal,124,1945,0.0,LBN
Coal,124,1946,0.0,LBN
Coal,124,1947,0.0,LBN
Coal,124,1948,0.0,LBN
Coal,124,1949,0.0,LBN
Coal,124,1950,3655.0,LBN
Coal,124,1951,3655.0,LBN
Coal,124,1952,10992.0,LBN
Coal,124,1953,10992.0,LBN
Coal,124,1954,7328.0,LBN
Coal,124,1955,3664.0,LBN
Coal,124,1956,7328.0,LBN
Coal,124,1957,7328.0,LBN
Coal,124,1958,7328.0,LBN
Coal,124,1959,7328.0,LBN
Coal,124,1960,11008.0,LBN
Coal,124,1961,3664.0,LBN
Coal,124,1962,7328.0,LBN
Coal,124,1963,21984.0,LBN
Coal,124,1964,29312.0,LBN
Coal,124,1965,25648.0,LBN
Coal,124,1966,10992.0,LBN
Coal,124,1967,3664.0,LBN
Coal,124,1968,11003.0,LBN
Coal,124,1969,25648.0,LBN
Coal,124,1970,10982.0,LBN
Coal,124,1971,10992.0,LBN
Coal,124,1972,18308.0,LBN
Coal,124,1973,36640.0,LBN
Coal,124,1974,25648.0,LBN
Coal,124,1975,25648.0,LBN
Coal,124,1976,14656.0,LBN
Coal,124,1977,14656.0,LBN
Coal,124,1978,14656.0,LBN
Coal,124,1979,14656.0,LBN
Coal,124,1980,14656.0,LBN
Coal,124,1981,14656.0,LBN
Coal,124,1982,7328.0,LBN
Coal,124,1983,0.0,LBN
Coal,124,1984,0.0,LBN
Coal,124,1985,0.0,LBN
Coal,124,1986,0.0,LBN
Coal,124,1987,0.0,LBN
Coal,124,1988,0.0,LBN
Coal,124,1989,0.0,LBN
Coal,124,1990,0.0,LBN
Coal,124,1991,0.0,LBN
Coal,124,1992,0.0,LBN
Coal,124,1993,278464.0,LBN
Coal,124,1994,282045.0,LBN
Coal,124,1995,476320.0,LBN
Coal,124,1996,564256.0,LBN
Coal,124,1997,575248.0,LBN
Coal,124,1998,501968.03,LBN
Coal,124,1999,505631.97,LBN
Coal,124,2000,501968.03,LBN
Coal,124,2001,501968.03,LBN
Coal,124,2002,501968.03,LBN
Coal,124,2003,501865.03,LBN
Coal,124,2004,501968.03,LBN
Coal,124,2005,501968.03,LBN
Coal,124,2006,501838.03,LBN
Coal,124,2007,501968.03,LBN
Coal,124,2008,501968.03,LBN
Coal,124,2009,501877.0,LBN
Coal,124,2010,564256.0,LBN
Coal,124,2011,626544.0,LBN
Coal,124,2012,626544.0,LBN
Coal,124,2013,501968.03,LBN
Coal,124,2014,626544.0,LBN
Coal,124,2015,626544.0,LBN
Coal,124,2016,626544.0,LBN
Coal,124,2017,626544.0,LBN
Coal,124,2018,626544.0,LBN
Coal,124,2019,626544.0,LBN
Coal,124,2020,493054.0,LBN
Coal,124,2021,433510.0,LBN
Coal,123,1990,1142346.0,LSO
Coal,123,1991,1194464.0,LSO
Coal,123,1992,1245760.0,LSO
Coal,123,1993,1286064.0,LSO
Coal,123,1994,1326368.0,LSO
Coal,123,1995,1352016.0,LSO
Coal,123,1996,1378420.0,LSO
Coal,123,1997,1404069.0,LSO
Coal,123,1998,1432624.0,LSO
Coal,123,1999,1450944.0,LSO
Coal,123,2000,1469264.0,LSO
Coal,123,2001,1491248.0,LSO
Coal,123,2002,1516148.0,LSO
Coal,123,2003,1542544.0,LSO
Coal,123,2004,1571856.0,LSO
Coal,123,2005,1597504.0,LSO
Coal,123,2006,1626816.0,LSO
Coal,123,2007,1652464.0,LSO
Coal,123,2008,1681776.0,LSO
Coal,123,2009,1711088.0,LSO
Coal,123,2010,1751392.0,LSO
Coal,123,2011,2513504.0,LSO
Coal,123,2012,2498848.0,LSO
Coal,123,2013,1740400.0,LSO
Coal,123,2014,1897952.0,LSO
Coal,123,2015,1630480.0,LSO
Coal,123,2016,1564528.0,LSO
Coal,123,2017,1857648.0,LSO
Coal,123,2018,1681776.0,LSO
Coal,123,2019,1670784.0,LSO
Coal,123,2020,1501730.0,LSO
Coal,123,2021,1582200.0,LSO
Coal,121,1950,0.0,LBR
Coal,121,1951,0.0,LBR
Coal,121,1952,0.0,LBR
Coal,121,1953,0.0,LBR
Coal,121,1954,0.0,LBR
Coal,121,1955,0.0,LBR
Coal,121,1956,0.0,LBR
Coal,121,1957,0.0,LBR
Coal,121,1958,0.0,LBR
Coal,121,1959,0.0,LBR
Coal,121,1960,0.0,LBR
Coal,121,1961,0.0,LBR
Coal,121,1962,0.0,LBR
Coal,121,1963,0.0,LBR
Coal,121,1964,0.0,LBR
Coal,121,1965,0.0,LBR
Coal,121,1966,0.0,LBR
Coal,121,1967,0.0,LBR
Coal,121,1968,0.0,LBR
Coal,121,1969,0.0,LBR
Coal,121,1970,0.0,LBR
Coal,121,1971,0.0,LBR
Coal,121,1972,0.0,LBR
Coal,121,1973,0.0,LBR
Coal,121,1974,0.0,LBR
Coal,121,1975,0.0,LBR
Coal,121,1976,0.0,LBR
Coal,121,1977,0.0,LBR
Coal,121,1978,0.0,LBR
Coal,121,1979,0.0,LBR
Coal,121,1980,0.0,LBR
Coal,121,1981,0.0,LBR
Coal,121,1982,0.0,LBR
Coal,121,1983,0.0,LBR
Coal,121,1984,0.0,LBR
Coal,121,1985,0.0,LBR
Coal,121,1986,0.0,LBR
Coal,121,1987,0.0,LBR
Coal,121,1988,0.0,LBR
Coal,121,1989,0.0,LBR
Coal,121,1990,0.0,LBR
Coal,121,1991,0.0,LBR
Coal,121,1992,0.0,LBR
Coal,121,1993,0.0,LBR
Coal,121,1994,0.0,LBR
Coal,121,1995,0.0,LBR
Coal,121,1996,0.0,LBR
Coal,121,1997,0.0,LBR
Coal,121,1998,0.0,LBR
Coal,121,1999,0.0,LBR
Coal,121,2000,0.0,LBR
