Code,Year,ConsumptionTotal,GDP 2015 PPP,IntensidadeEnergetica
LUX,1984,31.38337525,18356719029.22959,1.7096396801644091
LUX,1985,32.230649590000006,18869184373.995693,1.7081103746284994
LUX,1986,31.50985158,20753072262.412598,1.5183222600284483
LUX,1987,29.7611875,21573020862.549828,1.3795558670072305
LUX,1988,30.49847482,23398806657.68583,1.303420095998021
LUX,1989,35.05633131,25691437027.019814,1.3645142260096652
LUX,1990,37.15125377,27058203782.48067,1.3730125646423823
LUX,1991,39.92873618,29397165793.367275,1.3582512158028823
LUX,1992,40.04282839,29932092041.61852,1.3377891640291362
LUX,1993,40.56885163,31189434676.490337,1.3007241731309602
LUX,1994,39.01028942,32381158084.87329,1.2047218730643074
LUX,1995,33.93460123,32844921027.39978,1.033176520707454
LUX,1996,34.89928099000001,33304117487.136387,1.047896885527135
LUX,1997,34.158579849999995,35109145135.08177,0.9729254220965934
LUX,1998,32.98774254999999,37452509306.822136,0.8807885816075649
LUX,1999,34.85965268,40514319942.465614,0.8604279358385923
LUX,2000,37.20419934,43325256229.72982,0.8587185068849161
LUX,2001,39.86669117,44657228410.58752,0.8927264989098215
LUX,2002,43.58214834,46097610202.68953,0.9454318379710112
LUX,2003,45.70390067,47305081129.95024,0.966152040717324
LUX,2004,51.77977729999999,49306980746.22622,1.0501510438552464
