Code,Year,Entity,Population,GDP_2010_dolar,GDP_PPP_2010_dolar,Consumption
BGD,2021,Bangladesh,169356251.0,0.0,0.0,459.3542674
BLR,1985,Belarus,9975000.0,0.0,0.0,408.04371972
BLR,1986,Belarus,10043000.0,0.0,0.0,465.83835572000004
BLR,1987,Belarus,10111000.0,0.0,0.0,472.61935872000004
BLR,1988,Belarus,10140000.0,0.0,0.0,479.40497572000004
BLR,1989,Belarus,10170000.0,0.0,0.0,463.66064972
BLR,1990,Belarus,10189348.0,0.0,0.0,465.97247272000004
BLR,1991,Belarus,10194050.0,0.0,0.0,464.90619983
BLR,1992,Belarus,10216470.0,20525988023.9521,81401578443.11378,403.155680885
BLR,1993,Belarus,10239050.0,17761990697.67442,74759795348.83722,337.11218877600004
BLR,1994,Belarus,10226955.0,23815071428.57143,65740041950.11338,281.813539776
BLR,1995,Belarus,10193831.0,15548343991.179714,58034651598.67696,250.70609072
BLR,1996,Belarus,10159569.0,20778871520.342613,58980512847.965744,257.138184943
BLR,1997,Belarus,10117433.0,19746571428.57143,65353850340.136055,260.101065667
BLR,1998,Belarus,10071963.0,21002974226.804127,70597049484.53609,254.35075082999998
BLR,1999,Belarus,10026738.0,16385362581.946548,72412687846.69693,247.41664877600002
BLR,2000,Belarus,9979610.0,14088892682.92683,75737759024.39024,255.06026461000002
BLR,2001,Belarus,9928549.0,16233151802.656548,78819333017.0778,247.96009761
BLR,2002,Belarus,9865548.0,18868522875.816998,82772954248.36601,256.52617411
BLR,2003,Belarus,9796749.0,22524547945.20548,88262722374.42923,254.58639509999998
BLR,2004,Belarus,9730146.0,28492300578.034687,98357260115.60696,285.080649106
BLR,2005,Belarus,9663915.0,35981953548.3871,107378009462.3656,284.15030287999997
BLR,2006,Belarus,9604924.0,42646034166.66667,117888907500.00002,302.14648138599995
BLR,2007,Belarus,9560953.0,50798448136.142624,127887521069.69205,294.77389983
BLR,2008,Belarus,9527985.0,65615701911.82208,138390848224.73663,298.57773455
BLR,2009,Belarus,9504583.0,53324075959.27957,140172433829.28738,282.3261671
BLR,2010,Belarus,9483836.0,59027411402.157166,150400234976.88754,305.8578104
BLR,2011,Belarus,9461643.0,61368000000.0,156715000000.0,300.41427587000004
BLR,2012,Belarus,9446836.0,64347450420.78303,167595961946.57886,324.95833633999996
BLR,2013,Belarus,9443211.0,72909588171.65526,173221113595.38406,294.5553241
BLR,2014,Belarus,9448515.0,74824346344.92548,170675459190.91556,294.65619556
BLR,2015,Belarus,9461076.0,53454664068.03686,162467863926.29343,266.8041331
BLR,2016,Belarus,9469379.0,44714257612.880646,157869834091.7046,272.63637635000003
BLR,2017,Belarus,9458989.0,50222136394.79096,159349259766.96368,277.6632215
BLR,2018,Belarus,9438785.0,53731012370.44466,164187991975.92776,307.10879850000003
BLR,2019,Belarus,9419758.0,56669084099.86859,166584972404.73062,308.66196929999995
BLR,2020,Belarus,9379952.0,52326607594.93672,165079881856.5401,286.62447870000005
BLR,2021,Belarus,9340314.0,0.0,0.0,307.0365184
BEL,1965,Belgium,9463667.0,0.0,0.0,1147.2062011
BEL,1966,Belgium,9527807.0,0.0,0.0,397.858967439
BEL,1967,Belgium,9580991.0,0.0,0.0,417.65487967
